,s,sa_prophet,sa_stl,sa_camplet,sa_sts,sa_ts0,sa_ts,sa_x11,sa_x13
Jan-92,25850,29174.6989,30004.58567,30427.11362,28362.19647,30178.39072,28364.62164,30347.71987,28663.42672
Feb-92,27086,29211.9119,30035.16178,30133.17781,29295.55824,29967.87212,28475.31139,30419.75806,28964.47366
Mar-92,30255,27962.36075,27544.16338,27797.0144,28834.73128,27335.52449,28868.09408,27560.28565,28603.30621
Apr-92,30651,30033.58637,28955.94846,28479.26351,29149.87044,29083.98054,28962.73429,28514.67204,28872.88228
May-92,31153,28979.71058,28677.1256,29063.92368,29553.44413,28394.4361,29475.65093,28826.87225,29548.19866
Jun-92,32857,30880.65801,29390.61652,29114.08751,29855.74446,29338.15118,29862.49091,29199.48029,29957.1115
Jul-92,32246,30134.1881,30676.53966,30320.6624,30207.3142,30264.72827,30165.77326,30551.31197,30290.45635
Aug-92,30197,28072.36256,28570.46762,28914.33933,29678.24467,28240.16935,29627.8752,28241.13775,29389.82059
Sep-92,31019,31565.08038,31037.01917,30320.9452,31087.66334,31311.50393,31004.60872,30981.20809,31083.28317
Oct-92,31637,32354.0108,31664.32228,31086.50534,30963.7614,31627.37408,30975.49252,31925.99996,30982.23603
Nov-92,27882,30778.51275,30721.97644,30171.65159,31142.02358,31364.20655,30954.92003,30715.76833,30859.20181
Dec-92,28277,30382.92922,31927.73035,30961.296,31016.97003,32043.27157,31026.81656,31844.54817,31017.96709
Jan-93,27877,31294.09884,32100.20014,31754.68005,31891.01805,32312.27244,31939.55494,32429.83433,32236.89537
Feb-93,28422,30727.15933,31364.27214,31345.92131,30812.82301,31355.55506,31464.65733,31788.58925,31378.70565
Mar-93,33869,31388.5782,31029.28382,31912.78258,31136.65909,30796.44805,31220.64886,31052.94627,30958.15632
Apr-93,35217,34409.06054,33559.08091,33002.08784,33177.30235,33645.46104,33208.87113,33184.45182,33165.13433
May-93,35155,32807.90081,32549.53043,33058.97456,33472.96925,32297.56435,33312.82336,32592.18474,33350.56167
Jun-93,36950,34618.9114,33476.0135,33361.22361,33769.11488,33395.41421,33687.49794,33370.05704,33746.33011
Jul-93,36711,34417.34497,35173.36556,34249.13747,34512.97293,34761.41016,34624.43167,35029.15477,34692.57644
Aug-93,35862,33223.39809,34134.5882,34861.752,34916.74518,33766.21955,34982.68311,33797.39549,34752.59206
Sep-93,34721,35418.29356,34795.83128,34282.1484,34792.8366,35080.46663,34582.65791,34768.12166,34597.5782
Oct-93,34932,35618.20916,34978.24249,34460.36289,35644.58209,34986.42861,35531.7142,35144.30083,35502.701
Nov-93,33989,37603.58225,36912.72002,36291.24497,36542.8071,37548.57859,36610.22474,36923.65883,36565.28682
Dec-93,34127,36587.67121,37929.65755,36715.26533,37196.41936,37999.9608,37225.6488,37964.82947,37340.77342
Jan-94,32113,36114.05119,36469.4762,36183.89335,36925.02034,36703.58365,36844.77637,36717.55876,37160.36144
Feb-94,34450,37214.64463,37402.10983,37527.41821,37321.92418,37419.90618,37967.36675,37852.80548,37867.79473
Mar-94,42476,39474.21044,39392.28946,39842.23308,38807.0486,39162.23732,38817.43738,39398.52177,38574.71161
Apr-94,41042,39985.33385,39413.63124,38751.55706,39116.61835,39518.29618,39123.73246,39091.46336,39160.32867
May-94,40570,37983.53452,37742.16735,38809.40819,38428.70596,37524.50081,38343.41119,37680.83486,38278.44814
Jun-94,42348,39552.24945,38884.24132,39199.18565,38584.86129,38732.66919,38414.97075,38894.27165,38508.20496
Jul-94,39230,36897.28318,37755.48455,37795.74027,38524.08608,37303.7495,38522.64071,37506.56748,38487.12314
Aug-94,41726,38522.63172,39815.47431,40788.71526,39117.0538,39406.10435,39266.05513,39468.27795,39077.09231
Sep-94,40338,41247.88551,40550.14493,40690.50787,40121.39059,40793.20226,40149.29599,40498.40114,40145.39873
Oct-94,39860,40523.54373,39990.53396,40524.23985,40784.44221,39960.99104,40631.27571,40015.61986,40653.13592
Nov-94,37792,41903.73894,40876.79557,40567.80546,40905.40544,41522.29801,40861.47889,40987.16129,40857.79387
Dec-94,36924,39499.40287,41005.00718,40162.55606,40384.58133,40992.18295,40526.61413,41080.70352,40643.24201
Jan-95,35546,40046.33026,40271.63306,40523.23143,40619.01484,40287.6864,40698.5461,40225.6808,40960.23591
Feb-95,36306,39187.89949,39206.86697,40007.4002,39232.93744,39271.15317,39842.33189,39723.29469,39651.32403
Mar-95,44741,41694.94338,40936.12199,41106.88785,40576.23958,41221.80331,40497.83317,41351.18589,40296.38591
Apr-95,41194,40017.74123,39693.76055,39342.54521,41186.1575,39763.13464,40868.52458,39263.20393,40837.26664
May-95,45557,42790.3173,42138.20983,43450.69147,41650.28305,42267.27983,41639.42343,42271.02441,41507.06483
Jun-95,47331,44067.98125,43878.16698,43653.45063,42765.69778,43666.20427,42818.76318,44027.99717,43044.76464
Jul-95,43105,40671.96913,41827.54527,42491.57994,42440.65321,41097.59972,42394.81078,41364.20651,42428.58712
Aug-95,46110,42423.85268,43654.23081,44241.70906,43053.80997,43560.79071,43161.95431,43605.03525,42959.11137
Sep-95,42270,43327.76717,42680.87399,42607.56279,42500.25882,42867.9095,42537.38009,42589.60871,42566.64912
Oct-95,41973,42546.91511,42116.84974,42642.97963,42723.6885,42088.36015,42799.44786,41947.18233,42722.19117
Nov-95,40197,44668.65258,43655.41974,42835.47992,43518.16667,44202.7706,43423.21399,43854.52615,43382.95
Dec-95,38152,40723.92661,42871.57871,41874.45853,43478.24899,42437.40244,43492.10918,42595.40361,43567.08659
Jan-96,39330,44388.4297,43982.29499,43695.71762,43461.12012,44188.84712,43550.03211,44117.12861,43772.58882
Feb-96,43619,47042.54542,46379.7847,46042.50228,46450.10264,46533.46649,44606.46938,47058.22207,45288.80156
Mar-96,48939,45230.53951,45088.85027,44509.89324,46245.36856,45234.4868,45944.03152,45240.06307,45879.76063
Apr-96,46714,45773.02383,45291.67574,44930.86855,44756.91179,45324.90592,44768.78033,44845.11986,44835.78893
May-96,50339,46827.26065,46473.6266,46876.45271,45825.23269,46839.54317,45674.81146,46729.40786,45383.11488
Jun-96,47264,44421.07983,43721.06664,43099.57039,45023.33603,43587.06289,44758.25595,43962.53706,45044.96545
Jul-96,47479,44369.56884,45793.32225,46103.08792,44824.94853,45302.00651,45088.31709,45603.78656,45111.26301
Aug-96,47600,44250.90101,45270.16642,45029.83595,44325.91105,44846.3152,44494.0301,44736.87931,44146.39996
Sep-96,44531,45314.95516,45165.9726,45206.46441,46293.41264,45276.16927,46140.22403,45014.21772,46281.29108
Oct-96,47039,48105.07677,46893.09404,47394.94725,46281.76044,47134.68631,46470.77907,47055.73422,46481.08012
Nov-96,41793,46134.65259,46140.2244,45433.98567,45475.32997,46121.65443,45716.69247,45982.5954,45642.04923
Dec-96,40142,43131.57494,45110.35138,45579.07243,45440.44148,44556.11329,45623.16094,44817.44857,45705.206
Jan-97,42360,47552.39182,47034.04013,47122.08601,46590.44695,47356.0271,46510.11068,47346.65803,46670.04098
Feb-97,43905,47465.90425,46647.81367,46270.27479,47015.13043,46846.13183,47468.81312,47193.01065,47220.71634
Mar-97,50087,46418.84072,46220.95556,46477.05455,47350.343,46230.96281,46985.70853,46026.59548,46949.89182
Apr-97,48255,47147.94606,46483.64673,47057.22354,46601.73168,46907.9408,46464.84569,46581.29629,46651.28107
May-97,49731,46410.74429,45678.9974,46402.15104,45519.24672,46098.10081,45386.89313,45832.55783,44955.27476
Jun-97,49331,46218.82322,45449.16525,46192.37669,46573.76874,45571.06639,46392.41374,45957.40397,46795.74141
Jul-97,50216,47078.57032,48101.48723,47949.11264,47429.24816,47843.13007,47580.58019,48266.88777,47580.91601
Aug-97,50020,46339.70142,48079.14311,47523.27865,48236.65622,47034.22114,48287.18005,46785.21082,47891.04683
Sep-97,47458,48411.08769,48317.48915,48068.68258,47582.90534,48341.96145,47809.67712,48018.46693,47901.66548
Oct-97,48061,49005.1171,47954.5175,47637.87131,47257.44202,48177.39149,47476.62962,48098.63909,47479.54871
Nov-97,42077,46551.70585,47106.87467,46528.49522,47845.99732,46724.09267,47875.53037,46808.97901,47888.88343
Dec-97,44008,47181.12447,48827.37118,49080.13525,47928.13925,48461.46888,48308.63087,48955.99895,48487.52979
Jan-98,43512,48933.28544,48536.94726,47924.52867,47992.74421,48702.75386,47974.13624,48632.85685,47999.12951
Feb-98,44218,47766.53574,46791.88078,47121.95271,47289.57229,47223.40819,47608.47041,47316.13005,47222.42635
Mar-98,51896,48228.49669,47520.36882,48247.15707,48781.99313,47866.12199,48592.38341,47543.12573,48560.61743
Apr-98,51585,50256.89408,49919.55202,49597.29674,49892.53367,50320.20555,49461.96829,50238.40948,49823.15994
May-98,53410,50004.94402,49453.42159,49806.30035,50787.8927,49649.33099,50403.24405,49330.97503,50029.59563
Jun-98,56013,52315.10693,51637.85177,52026.18112,50867.12675,52127.61341,51061.29746,52451.65083,51591.94654
Jul-98,50813,47791.52818,48575.0106,47954.41592,47874.37965,48249.96573,47898.84759,48781.76241,47820.53777
Aug-98,49489,45689.65444,47143.4471,47208.28125,47538.29317,46180.29028,47590.72911,45881.55944,47095.35965
Sep-98,48736,49835.31529,49472.58027,48762.80922,49332.86261,49790.06477,49343.29345,49250.17395,49334.71332
Oct-98,51317,52171.26677,51908.79976,50209.79323,50686.69305,51529.33824,51266.40439,51591.13917,51219.07645
Nov-98,45711,50684.31972,51204.76236,50429.36675,51569.31132,50625.72977,51879.11025,50673.84334,52086.42727
Dec-98,47700,51027.0154,52653.25827,51668.05675,51954.44275,52195.6795,52173.72015,52799.63544,52201.37046
Jan-99,46206,52055.94823,51670.11979,50940.88678,52998.55455,51627.47354,52741.99965,51552.87794,52807.58177
Feb-99,49888,53848.01217,52084.39281,53035.67145,53121.63333,52920.10369,53446.38203,52912.46119,53033.89251
Mar-99,58832,54826.59996,53802.58055,54750.8829,53458.04696,54619.87012,53399.32308,54369.34929,53519.39875
Apr-99,55580,53992.96153,54596.68481,53689.87833,53626.55956,54488.25256,53377.34897,54446.73976,53605.94978
May-99,58310,54768.8259,54029.89949,54755.93953,55416.49709,54444.34626,55087.87242,54156.78823,54755.96475
Jun-99,59702,55586.11938,54793.8191,55073.12645,54863.75412,55803.39289,54663.03185,55998.44332,55130.19676
Jul-99,59008,55677.33568,57253.45652,56247.11086,55581.74874,56212.26559,55614.45389,56821.94213,55533.44312
Aug-99,60540,55700.28283,57466.93904,58437.01042,57287.46182,56730.31678,57413.79144,56496.182,57052.98595
Sep-99,56165,57570.47653,57362.40891,57053.85307,56996.88723,57383.37142,56477.08922,56692.24255,56558.73446
Oct-99,53982,54720.11939,53954.57161,54640.56997,55573.12472,54269.54744,56230.03001,54465.29332,56093.56971
Nov-99,52070,57862.44595,57448.53902,57427.09447,56661.17449,57196.99953,57718.51326,57118.25571,57997.49038
Dec-99,52485,56023.15182,58167.20196,57100.21336,56892.47569,57034.20036,57115.90692,57580.84388,56771.52294
Jan-00,51494,58116.9031,57270.95054,57472.96226,58989.55993,57104.36163,58801.18607,56963.56108,58909.17932
Feb-00,58924,63548.79631,61022.27549,61123.67776,62071.18971,62037.31617,59479.37399,62161.4261,60227.34089
Mar-00,64910,59991.30182,59904.66796,60133.0849,59192.0361,60598.77076,58626.75451,60580.24295,59041.9869
Apr-00,56607,55466.74573,56269.7309,55834.36186,57444.62159,55686.2303,56917.50172,55653.63794,57155.34171
May-00,62552,58188.25976,58164.22306,58608.32293,57114.10503,58596.28533,57109.86662,58340.4372,56862.4421
Jun-00,62483,58724.66002,58096.16844,58064.04813,57298.75483,58676.30851,56904.96681,58723.08306,57205.15142
Jul-00,58025,54224.90431,56120.06027,56124.90026,56437.16454,54940.39016,56292.00418,55379.08897,56242.67669
Aug-00,62101,57731.62192,57497.8255,58695.83523,56684.55032,57748.98965,56275.86242,57566.57053,56030.60979
Sep-00,57048,58052.31327,59194.79424,57979.58456,58183.77079,58477.21968,57743.09023,57584.68608,57865.43155
Oct-00,55388,56643.29583,53789.1829,57716.31975,56410.32161,55611.94471,57823.40104,56291.80774,57823.43729
Nov-00,50607,55864.29219,55591.37612,56859.82414,55691.59333,55902.55758,56276.98557,55689.34868,56425.35142
Dec-00,48594,52213.03753,54674.56261,55112.38777,54678.69159,53107.28097,55055.64802,53492.69736,54317.87366
Jan-01,52021,58397.61509,57862.38312,58217.43918,57107.19218,57810.77581,57544.79982,57717.83552,57621.34758
Feb-01,54238,58636.95968,56940.11725,56038.45786,57655.75745,57646.71198,58114.1491,57783.70117,57600.95459
Mar-01,62112,57563.18076,58021.80061,56898.11425,56952.45603,57874.05923,56658.27398,57901.61871,56972.82268
Apr-01,57401,56084.12085,57268.59539,57039.28729,57564.09697,56556.17346,57257.23346,56550.22672,57635.18179
May-01,63616,59368.72189,59426.15444,58195.55209,58477.4012,59645.50894,58056.58206,59284.97008,57888.86793
Jun-01,62272,58343.40596,58729.66363,57187.8216,57722.73379,58628.71234,57286.99905,58695.37297,57718.35663
Jul-01,59074,55383.13412,56067.72004,57404.71675,56681.91539,55541.36682,56431.9063,55677.34123,56509.52238
Aug-01,63352,58690.77898,57133.05259,58460.25063,57389.67221,58480.65545,56449.85113,58458.12954,56663.63201
Sep-01,53017,54081.72776,55516.73665,53853.42036,56776.15031,54622.59763,55539.69053,53666.35983,55618.28315
Oct-01,70938,72331.51613,68998.01334,72545.79481,69561.11418,71200.03642,72095.29059,72210.41435,72155.17473
Nov-01,57217,63301.77897,62488.25992,63974.95179,62784.99418,62659.77509,63768.77115,62525.82278,63832.10741
Dec-01,53365,57212.79556,59042.66869,62051.08382,59282.32287,57591.94351,59928.19168,57784.0453,58972.01859
Jan-02,53048,59657.40315,58901.06247,60319.62844,58716.57472,59003.98533,58877.86865,58938.97301,58874.68704
Feb-02,54928,59336.02322,59013.27402,58984.80104,58648.48836,58712.0063,59369.28492,58942.78513,58529.49507
Mar-02,60231,55974.46015,56972.87956,57092.74177,57415.82016,56067.64478,57266.96937,56132.97871,57437.1681
Apr-02,60359,58804.99893,59893.84359,60033.76868,58215.00889,59502.26602,58540.26008,59519.15507,58807.72704
May-02,61135,57237.4509,56974.93957,56186.13238,56331.08685,57200.62648,55811.62708,56592.88974,55599.82533
Jun-02,60681,56674.93267,57764.79875,55918.28877,58785.26345,57193.80541,58059.77846,57352.94315,58464.53802
Jul-02,65925,62004.92974,61583.19454,63103.19784,60535.33243,61804.26853,60366.22813,61660.26232,60512.47684
